"";"year";"specimen_ID";"laboratory";"species";"station_name";"fat_percentage";"Cu";"As";"Cd";"Pb";"Zn";"Ag";"Hg";"Ni";"Cr"
"1";"2007";"C2007/03580";"SU";"Perca fluviatilis";"Holmoarna";"NaN";NA;NA;NA;NA;NA;NA;"49";"0.08";"0.016"
"2";"2007";"C2007/03579";"SU";"Perca fluviatilis";"Holmoarna";"NaN";NA;NA;NA;"0.007";NA;NA;"69";"0.07";"0.014"
"3";"2007";"C2007/03573";"SU";"Perca fluviatilis";"Holmoarna";"NaN";NA;NA;NA;"0.008";NA;NA;NA;"0.08";"0.016"
"4";"2007";"C2007/03574";"SU";"Perca fluviatilis";"Holmoarna";"NaN";NA;NA;NA;"0.008";NA;NA;"68";"0.08";"0.016"
"5";"2007";"C2007/03581";"SU";"Perca fluviatilis";"Holmoarna";"NaN";NA;NA;NA;"0.008";NA;NA;"73";"0.08";"0.015"
"6";"2007";"C2007/03575";"SU";"Perca fluviatilis";"Holmoarna";"NaN";NA;NA;NA;NA;NA;NA;"38";"0.07";"0.014"
"7";"2007";"C2007/03576";"SU";"Perca fluviatilis";"Holmoarna";"NaN";NA;NA;NA;NA;NA;NA;"42";NA;"0.015"
"8";"2007";"C2007/03582";"SU";"Perca fluviatilis";"Holmoarna";"NaN";NA;NA;NA;NA;NA;NA;"45";"0.08";"0.016"
"9";"2007";"C2007/03577";"SU";"Perca fluviatilis";"Holmoarna";"NaN";NA;NA;NA;NA;NA;NA;"60";NA;"0.014"
"10";"2007";"C2007/03578";"SU";"Perca fluviatilis";"Holmoarna";"NaN";NA;NA;NA;NA;NA;NA;"56";"0.08";"0.015"
"11";"2007";"C2007/05888";"SU";"Mytilus edulis";"Fjallbacka";"NaN";"4.79";"21.1";"0.621";"1.04";"80.2";"0.0265";"22";"1.99";"1.07"
"12";"2007";"C2007/05889";"SU";"Mytilus edulis";"Fjallbacka";"NaN";"5.69";"17.8";"0.926";"1.79";"102";"0.0585";"18";"1.67";"1.13"
"13";"2007";"C2007/05890";"SU";"Mytilus edulis";"Fjallbacka";"NaN";"4.57";"17.4";"0.563";"0.83";"90.6";"0.0366";"19";"1.52";"0.837"
"14";"2007";"C2007/05887";"SU";"Mytilus edulis";"Fjallbacka";"NaN";"3.58";"17.4";"0.786";"0.854";"75";"0.0222";"19";"2.35";"1.18"
"15";"2007";"C2007/05891";"SU";"Mytilus edulis";"Fjallbacka";"NaN";"3.98";"15.6";"0.673";"1.01";"128";"0.0464";"15";"0.95";"0.941"
"16";"2007";"C2007/05883";"SU";"Mytilus edulis";"Fjallbacka";"NaN";"4.79";"19.3";"0.651";"0.812";"96.8";"0.0696";"17";"4.04";"1.07"
